epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6292,1.53974,2.14173,2.27146,0.83659,0.82312,0.86816,0.61304,0.9562,0.89808,2.20564,0.000367707,0.000367707,0.000367707
2,87.3286,1.052,0.95876,2.02109,0.86827,0.88425,0.92073,0.67546,0.88195,0.7475,2.08759,0.000723427,0.000723427,0.000723427
3,129.862,0.99516,0.8296,1.96381,0.89097,0.8666,0.92004,0.69349,0.89114,0.67695,2.08356,0.00106448,0.00106448,0.00106448
4,172.422,0.96491,0.77868,1.93419,0.90389,0.88656,0.92724,0.69192,0.87005,0.67716,2.10546,0.00104501,0.00104501,0.00104501
5,214.506,0.93391,0.73539,1.92888,0.92763,0.8946,0.94929,0.73431,0.80169,0.6097,2.04698,0.00102301,0.00102301,0.00102301
6,256.549,0.90713,0.69518,1.88014,0.92331,0.89792,0.94755,0.72251,0.83754,0.61513,2.03197,0.00100101,0.00100101,0.00100101
7,299.074,0.8946,0.66718,1.89023,0.92948,0.91536,0.95204,0.75637,0.7896,0.57119,2.01472,0.000979013,0.000979013,0.000979013
8,341.51,0.86334,0.63402,1.89418,0.93355,0.91702,0.96151,0.77723,0.73458,0.55694,1.9854,0.000957015,0.000957015,0.000957015
9,383.677,0.85167,0.60555,1.85459,0.93882,0.92317,0.96039,0.76375,0.74872,0.54892,1.96494,0.000935018,0.000935018,0.000935018
10,425.215,0.82982,0.59577,1.83004,0.92916,0.91912,0.95698,0.77518,0.71063,0.53105,1.96888,0.00091302,0.00091302,0.00091302
11,466.807,0.81101,0.57589,1.82313,0.9512,0.93242,0.96972,0.7788,0.74243,0.53408,2.02293,0.000891022,0.000891022,0.000891022
12,509.522,0.80578,0.56205,1.8014,0.94148,0.91611,0.96591,0.78676,0.69783,0.50309,1.99005,0.000869024,0.000869024,0.000869024
13,551.366,0.77905,0.53695,1.78187,0.94456,0.93541,0.96816,0.79105,0.72235,0.51624,1.96403,0.000847026,0.000847026,0.000847026
14,593.58,0.76659,0.5425,1.77808,0.93833,0.93785,0.96732,0.7897,0.70625,0.51228,2.00564,0.000825029,0.000825029,0.000825029
15,635.908,0.75799,0.52304,1.7483,0.94229,0.93023,0.97233,0.80026,0.68848,0.49166,1.97492,0.000803031,0.000803031,0.000803031
16,678.68,0.74766,0.52617,1.75299,0.94924,0.91798,0.96383,0.78252,0.71533,0.51369,1.95878,0.000781033,0.000781033,0.000781033
17,721.244,0.739,0.51028,1.75075,0.93912,0.93789,0.96874,0.79847,0.67937,0.49196,1.94587,0.000759035,0.000759035,0.000759035
18,763.803,0.72773,0.49434,1.73579,0.93697,0.94387,0.97068,0.80375,0.6888,0.48721,1.96722,0.000737037,0.000737037,0.000737037
19,806.352,0.73306,0.48932,1.73667,0.94909,0.94152,0.9743,0.80899,0.6719,0.47813,1.96597,0.00071504,0.00071504,0.00071504
20,848.888,0.71639,0.48346,1.72498,0.95789,0.94305,0.97689,0.81242,0.66966,0.47027,1.95469,0.000693042,0.000693042,0.000693042
21,891.286,0.69502,0.46781,1.69435,0.956,0.93653,0.97255,0.80661,0.67366,0.47998,1.91128,0.000671044,0.000671044,0.000671044
22,933.636,0.70115,0.46511,1.66931,0.96432,0.93633,0.97533,0.81305,0.67326,0.4705,1.91208,0.000649046,0.000649046,0.000649046
23,976.179,0.68796,0.45714,1.70263,0.94601,0.9505,0.97465,0.82134,0.6582,0.45748,1.94526,0.000627048,0.000627048,0.000627048
24,1018.83,0.69965,0.46621,1.69948,0.95277,0.93919,0.9748,0.82612,0.64186,0.45352,1.92322,0.000605051,0.000605051,0.000605051
25,1061.37,0.67316,0.45083,1.65954,0.96696,0.92537,0.97563,0.81712,0.6531,0.46203,1.93025,0.000583053,0.000583053,0.000583053
26,1103.61,0.67842,0.45829,1.67817,0.96194,0.93491,0.97607,0.82361,0.64536,0.44964,1.93263,0.000561055,0.000561055,0.000561055
27,1146.05,0.66938,0.44899,1.67044,0.96611,0.94095,0.97616,0.82335,0.64782,0.44456,1.94171,0.000539057,0.000539057,0.000539057
28,1188.22,0.66386,0.44176,1.66161,0.95938,0.94311,0.97652,0.82599,0.65149,0.44959,1.9268,0.000517059,0.000517059,0.000517059
29,1230.35,0.65687,0.43805,1.63824,0.95529,0.93752,0.97374,0.82053,0.64677,0.45103,1.96595,0.000495062,0.000495062,0.000495062
30,1272.73,0.64971,0.43493,1.61377,0.97056,0.92874,0.97496,0.83392,0.62942,0.44173,1.93831,0.000473064,0.000473064,0.000473064
31,1315.22,0.63929,0.42235,1.6269,0.9558,0.94854,0.97874,0.83622,0.61736,0.43318,1.9422,0.000451066,0.000451066,0.000451066
32,1357.79,0.62823,0.41333,1.58592,0.95722,0.94237,0.97359,0.83079,0.62035,0.43726,1.91943,0.000429068,0.000429068,0.000429068
33,1400.21,0.62153,0.41068,1.60902,0.9611,0.94576,0.97681,0.83638,0.6238,0.43767,1.91736,0.00040707,0.00040707,0.00040707
34,1442.65,0.62357,0.40895,1.5895,0.9518,0.94636,0.97346,0.83256,0.62408,0.44175,1.97011,0.000385073,0.000385073,0.000385073
35,1485.03,0.62372,0.41254,1.58287,0.95983,0.94706,0.97534,0.83696,0.63167,0.43883,1.94047,0.000363075,0.000363075,0.000363075
36,1527.5,0.61274,0.40392,1.56681,0.96845,0.94789,0.97804,0.83977,0.61757,0.42601,1.94581,0.000341077,0.000341077,0.000341077
37,1570.1,0.60248,0.39577,1.5514,0.96374,0.93685,0.97536,0.8358,0.61536,0.43002,1.94931,0.000319079,0.000319079,0.000319079
38,1612.55,0.60612,0.4015,1.5608,0.968,0.93785,0.97452,0.83968,0.61273,0.42852,1.95837,0.000297081,0.000297081,0.000297081
39,1655.03,0.58833,0.3877,1.5414,0.96299,0.94193,0.97401,0.84026,0.61459,0.4251,1.96681,0.000275084,0.000275084,0.000275084
40,1697.67,0.58568,0.38404,1.52872,0.96065,0.95,0.97604,0.84115,0.6021,0.4227,1.93173,0.000253086,0.000253086,0.000253086
41,1752.86,0.56548,0.37166,1.52457,0.96639,0.93259,0.97625,0.84248,0.60572,0.4307,1.95003,0.000231088,0.000231088,0.000231088
42,1794.75,0.55353,0.36526,1.51793,0.95504,0.94517,0.97695,0.83853,0.61014,0.42511,1.98489,0.00020909,0.00020909,0.00020909
