epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2903,1.72314,3.32557,2.2663,0.77458,0.59195,0.63741,0.41492,0.99377,1.59177,2.01436,0.000331418,0.000331418,0.000331418
2,56.2498,1.07483,1.32801,1.93436,0.7998,0.77419,0.81533,0.59408,0.82656,0.94459,1.92666,0.000651589,0.000651589,0.000651589
3,81.971,0.98515,0.99706,1.7935,0.83603,0.8304,0.86706,0.64395,0.80019,0.91976,1.83588,0.00095856,0.00095856,0.00095856
4,108.132,0.93216,0.88956,1.80043,0.88075,0.83152,0.89138,0.67299,0.75238,0.96601,1.82158,0.0009406,0.0009406,0.0009406
5,134.072,0.86882,0.77724,1.75648,0.90241,0.86044,0.90899,0.71502,0.72326,0.94843,1.77777,0.0009208,0.0009208,0.0009208
6,159.947,0.85237,0.74524,1.71991,0.91148,0.86305,0.91878,0.72546,0.70538,0.67891,1.75913,0.000901,0.000901,0.000901
7,186.63,0.82892,0.69445,1.70151,0.92265,0.87091,0.93042,0.73377,0.71359,0.691,1.77411,0.0008812,0.0008812,0.0008812
8,212.666,0.78472,0.65669,1.68781,0.92059,0.88972,0.93501,0.74484,0.6827,0.67936,1.73319,0.0008614,0.0008614,0.0008614
9,238.482,0.78206,0.65572,1.68696,0.9475,0.886,0.93637,0.74993,0.67119,0.67975,1.72083,0.0008416,0.0008416,0.0008416
10,264.442,0.77875,0.63082,1.66285,0.92085,0.90088,0.93266,0.75856,0.66154,0.60577,1.73017,0.0008218,0.0008218,0.0008218
11,290.132,0.75702,0.60262,1.6798,0.9439,0.8867,0.93485,0.76026,0.66172,0.5458,1.72501,0.000802,0.000802,0.000802
12,316.623,0.7496,0.60272,1.656,0.92396,0.89847,0.94101,0.76637,0.65564,0.58995,1.70045,0.0007822,0.0007822,0.0007822
13,342.561,0.73537,0.5866,1.62326,0.95293,0.88979,0.94086,0.77264,0.64252,0.56075,1.71321,0.0007624,0.0007624,0.0007624
14,368.654,0.7465,0.57624,1.64841,0.95108,0.89257,0.94275,0.77266,0.63995,0.52293,1.68841,0.0007426,0.0007426,0.0007426
15,395.398,0.72694,0.56388,1.61286,0.94794,0.90617,0.94647,0.78099,0.63982,0.48997,1.69441,0.0007228,0.0007228,0.0007228
16,422.613,0.71277,0.55164,1.6245,0.94836,0.9046,0.9477,0.78355,0.62727,0.59613,1.67732,0.000703,0.000703,0.000703
17,449.506,0.71243,0.55081,1.62002,0.95077,0.91546,0.94989,0.78453,0.64099,0.48306,1.65334,0.0006832,0.0006832,0.0006832
18,476.923,0.70291,0.5406,1.60517,0.94407,0.90082,0.94617,0.78649,0.6199,0.49329,1.66196,0.0006634,0.0006634,0.0006634
19,504.672,0.69109,0.52721,1.58819,0.95384,0.90961,0.94565,0.79038,0.62351,0.48586,1.64707,0.0006436,0.0006436,0.0006436
20,533.245,0.68195,0.51794,1.59857,0.95299,0.90205,0.94787,0.79077,0.61867,0.46902,1.65597,0.0006238,0.0006238,0.0006238
21,561.282,0.67321,0.50751,1.56916,0.97388,0.89409,0.94983,0.79744,0.60824,0.46408,1.67317,0.000604,0.000604,0.000604
22,589.035,0.67386,0.50693,1.56945,0.96282,0.90416,0.94895,0.7951,0.6177,0.47117,1.68059,0.0005842,0.0005842,0.0005842
