game_id,video_id,exposure_zone,exposure_seconds,total_detections,total_media_value,qi_score_avg,qi_score_std,size_score_avg,size_score_std,sov_weighted_avg,sov_weighted_std,dist_score_avg,dist_score_std,legi_score_avg,legi_score_std,conf_avg,conf_std,laplacian_avg,laplacian_std,dist_raw_pct_avg,dist_raw_pct_std,area_pct_avg,area_pct_std,video_url
22401189,ax3bQCsSARw,mid-court-logo,303.1,1697,1429.2788,0.2493,0.192,0.5496,0.2572,0.8667,0.1424,0.491,0.3096,1.0,0.0002,0.849,0.0528,1747.77,593.12,25.91,14.78,1.912,1.438,https://www.youtube.com/watch?v=ax3bQCsSARw
22401189,ax3bQCsSARw,side-court-led-logo,478.88,3253,1322.7071,0.1204,0.1174,0.334,0.1313,0.8046,0.117,0.4393,0.3324,0.994,0.0721,0.9039,0.0428,1917.22,1274.33,28.9,16.31,0.851,1.467,https://www.youtube.com/watch?v=ax3bQCsSARw
22401189,ax3bQCsSARw,side-court-logo,507.51,2549,916.0415,0.1064,0.0621,0.2862,0.0399,0.797,0.0971,0.4927,0.2993,0.9998,0.0124,0.8777,0.0296,3297.66,767.79,25.21,13.15,0.582,0.179,https://www.youtube.com/watch?v=ax3bQCsSARw
22401189,ax3bQCsSARw,back-court-logo,476.28,2379,2071.8022,0.2578,0.182,0.4845,0.0991,0.9171,0.0354,0.5461,0.3315,1.0,0.0,0.8673,0.0231,1488.62,351.97,24.08,16.0,1.44,0.415,https://www.youtube.com/watch?v=ax3bQCsSARw
22401189,ax3bQCsSARw,basket-logo,465.67,16961,1173.4031,0.0205,0.0323,0.1091,0.1143,0.3707,0.141,0.36,0.2921,0.9994,0.0202,0.8865,0.0594,3108.17,2653.03,34.01,17.74,0.172,0.155,https://www.youtube.com/watch?v=ax3bQCsSARw
22401194,_N9xrSVb5AE,mid-court-logo,334.53,1960,3809.7347,0.1964,0.1706,0.5029,0.2079,0.7692,0.183,0.4576,0.3134,0.9994,0.0223,0.8627,0.0602,1827.37,665.74,27.38,14.96,1.655,2.369,https://www.youtube.com/watch?v=_N9xrSVb5AE
22401194,_N9xrSVb5AE,side-court-led-logo,403.0,2014,4327.2908,0.2171,0.2186,0.5169,0.2308,0.7919,0.1476,0.4147,0.3189,0.9914,0.0686,0.8879,0.0564,938.35,543.77,29.7,15.45,1.788,1.547,https://www.youtube.com/watch?v=_N9xrSVb5AE
22401194,_N9xrSVb5AE,side-court-logo,515.72,2721,3234.6292,0.1201,0.0822,0.3315,0.0544,0.8291,0.1175,0.457,0.3142,1.0,0.0,0.8823,0.0398,2822.31,818.22,27.27,14.4,0.795,0.228,https://www.youtube.com/watch?v=_N9xrSVb5AE
22401194,_N9xrSVb5AE,back-court-logo,507.91,2537,8332.245,0.3319,0.2371,0.569,0.1441,0.9321,0.0331,0.5778,0.3436,1.0,0.0,0.8825,0.0284,2013.96,541.84,22.26,15.79,1.851,0.795,https://www.youtube.com/watch?v=_N9xrSVb5AE
22401194,_N9xrSVb5AE,basket-logo,487.69,17840,3693.6241,0.0209,0.0313,0.1202,0.1191,0.3578,0.1547,0.3475,0.2768,0.9995,0.0192,0.9038,0.0442,2555.39,1669.54,33.72,15.93,0.193,0.178,https://www.youtube.com/watch?v=_N9xrSVb5AE
22401184,x-P6YOymHKo,side-court-led-logo,491.69,3580,5894.7751,0.1188,0.1296,0.3435,0.1354,0.8097,0.1534,0.4095,0.3265,0.9696,0.1563,0.9056,0.0501,1439.92,829.1,30.5,16.5,1.128,3.891,https://www.youtube.com/watch?v=x-P6YOymHKo
22401184,x-P6YOymHKo,mid-court-logo,451.25,2418,6094.9645,0.1818,0.1758,0.5291,0.1831,0.8732,0.1259,0.3613,0.3179,0.9982,0.0395,0.8695,0.0529,1771.69,578.1,33.11,16.56,1.659,0.866,https://www.youtube.com/watch?v=x-P6YOymHKo
22401184,x-P6YOymHKo,basket-logo,465.26,13309,5215.5437,0.0283,0.0403,0.1328,0.1125,0.4956,0.1842,0.3357,0.2933,0.9994,0.0195,0.8775,0.0654,2251.29,1216.57,35.49,17.98,0.187,0.128,https://www.youtube.com/watch?v=x-P6YOymHKo
22401184,x-P6YOymHKo,side-court-logo,1.4,7,0.1563,0.0016,0.0032,0.0612,0.0968,0.3722,0.1692,0.1931,0.2171,1.0,0.0,0.7012,0.0781,3793.18,1102.79,44.34,17.08,0.109,0.063,https://www.youtube.com/watch?v=x-P6YOymHKo
22401193,YMIqIyvduCY,side-court-logo,6.21,31,119.6294,0.2277,0.0646,0.3317,0.0618,0.8944,0.0545,0.767,0.1718,1.0,0.0,0.8128,0.0696,954.95,121.98,14.76,7.12,0.788,0.275,https://www.youtube.com/watch?v=YMIqIyvduCY
22401193,YMIqIyvduCY,mid-court-logo,237.04,1328,5651.2398,0.2511,0.2037,0.6043,0.2309,0.9341,0.1007,0.4212,0.3007,0.9992,0.0183,0.8456,0.0793,966.1,380.88,29.49,15.6,2.127,1.256,https://www.youtube.com/watch?v=YMIqIyvduCY
22401193,YMIqIyvduCY,basket-logo,388.59,9070,6137.7025,0.0399,0.04,0.1825,0.095,0.5822,0.1776,0.3423,0.2658,0.9764,0.136,0.9041,0.0433,1147.07,1122.05,33.44,15.32,0.242,0.135,https://www.youtube.com/watch?v=YMIqIyvduCY
22401193,YMIqIyvduCY,side-court-led-logo,193.39,968,4356.4749,0.2656,0.2336,0.5729,0.2744,0.9312,0.116,0.4533,0.2701,0.9428,0.2163,0.8809,0.0563,729.02,530.4,26.69,11.93,2.334,2.497,https://www.youtube.com/watch?v=YMIqIyvduCY
22401193,YMIqIyvduCY,back-court-logo,1.8,9,47.3184,0.3103,0.2817,0.6303,0.305,0.9772,0.0153,0.452,0.3631,1.0,0.0,0.7078,0.0776,729.48,215.42,30.75,20.89,2.319,1.318,https://www.youtube.com/watch?v=YMIqIyvduCY
22401177,5YloWNaHM4g,mid-court-logo,443.6,2478,83.7874,0.188,0.1855,0.5932,0.2168,0.8551,0.1331,0.3445,0.3011,0.9974,0.0378,0.8921,0.0407,801.4,399.07,33.12,15.05,1.992,1.076,https://www.youtube.com/watch?v=5YloWNaHM4g
22401177,5YloWNaHM4g,side-court-led-logo,412.0,2066,68.3732,0.184,0.227,0.4886,0.2409,0.7934,0.1604,0.3426,0.3086,0.9919,0.0817,0.899,0.0493,1240.22,829.05,33.42,15.56,2.471,7.198,https://www.youtube.com/watch?v=5YloWNaHM4g
22401177,5YloWNaHM4g,side-court-logo,441.4,2332,51.9699,0.1239,0.077,0.3286,0.046,0.7934,0.0755,0.4816,0.3002,0.9996,0.0205,0.8968,0.0272,1878.29,591.52,25.48,12.87,0.798,0.535,https://www.youtube.com/watch?v=5YloWNaHM4g
22401177,5YloWNaHM4g,back-court-logo,400.0,2000,64.9507,0.1806,0.1096,0.3482,0.0382,0.8819,0.0353,0.5844,0.3427,1.0,0.0,0.8774,0.0205,1555.68,464.6,22.02,15.94,0.87,0.16,https://www.youtube.com/watch?v=5YloWNaHM4g
22401177,5YloWNaHM4g,basket-logo,386.6,12634,34.1338,0.015,0.0296,0.0748,0.1067,0.3884,0.1358,0.3962,0.3021,0.9997,0.0134,0.9017,0.0363,2099.52,1615.5,31.68,16.77,0.153,0.108,https://www.youtube.com/watch?v=5YloWNaHM4g
22401178,o1xqothBttw,back-court-logo,388.79,1942,2308.812,0.255,0.1494,0.4182,0.0711,0.9487,0.0293,0.617,0.3149,1.0,0.0,0.8686,0.04,1090.69,266.12,20.58,14.34,1.164,0.295,https://www.youtube.com/watch?v=o1xqothBttw
22401178,o1xqothBttw,basket-logo,381.18,11166,1695.7295,0.0326,0.0373,0.1649,0.1155,0.4704,0.1577,0.3536,0.2616,0.9991,0.0277,0.896,0.0481,2633.4,1233.57,33.01,15.44,0.262,0.2,https://www.youtube.com/watch?v=o1xqothBttw
22401178,o1xqothBttw,side-court-led-logo,392.99,1965,1910.0523,0.2085,0.2445,0.5419,0.2491,0.9834,0.0335,0.3164,0.309,0.9855,0.105,0.8797,0.0649,1057.97,515.99,35.6,16.84,2.202,4.472,https://www.youtube.com/watch?v=o1xqothBttw
22401178,o1xqothBttw,side-court-logo,2.4,12,1.0064,0.018,0.0241,0.2023,0.2662,0.5296,0.1933,0.2247,0.2369,0.9176,0.2732,0.705,0.0469,1579.02,1120.46,39.21,12.91,2.87,8.742,https://www.youtube.com/watch?v=o1xqothBttw
22401178,o1xqothBttw,mid-court-logo,161.16,912,717.6824,0.1688,0.1827,0.5284,0.2305,0.8125,0.21,0.3723,0.2996,0.9085,0.23,0.8181,0.0739,332.78,284.58,31.84,15.44,1.703,1.12,https://www.youtube.com/watch?v=o1xqothBttw
22401191,gJoMYEM7GPg,back-court-logo,439.24,2198,1667.3474,0.3772,0.2664,0.6368,0.155,0.9483,0.0281,0.5759,0.3482,1.0,0.0004,0.8839,0.0273,667.52,212.12,22.97,17.14,2.182,0.889,https://www.youtube.com/watch?v=gJoMYEM7GPg
22401191,gJoMYEM7GPg,basket-logo,424.42,12895,619.1353,0.0239,0.0311,0.1419,0.1125,0.4055,0.1375,0.3336,0.2712,0.9371,0.1752,0.8981,0.0519,760.97,708.4,34.64,16.39,0.211,0.138,https://www.youtube.com/watch?v=gJoMYEM7GPg
22401191,gJoMYEM7GPg,mid-court-logo,316.32,1687,572.7625,0.1688,0.1561,0.4957,0.1813,0.7998,0.1597,0.3994,0.3173,0.9611,0.1414,0.867,0.0579,316.53,231.07,30.89,16.28,1.518,1.106,https://www.youtube.com/watch?v=gJoMYEM7GPg
22401191,gJoMYEM7GPg,side-court-led-logo,300.1,1499,610.3916,0.2025,0.2295,0.5379,0.2675,0.8076,0.1429,0.3682,0.3084,0.9913,0.0705,0.8842,0.0544,652.71,388.52,32.72,16.41,2.203,3.468,https://www.youtube.com/watch?v=gJoMYEM7GPg
22401191,gJoMYEM7GPg,side-court-logo,459.26,2338,540.1993,0.1149,0.0925,0.3492,0.0701,0.8927,0.098,0.3848,0.3033,0.9977,0.0444,0.8931,0.0311,1441.75,585.23,30.73,14.87,0.926,1.213,https://www.youtube.com/watch?v=gJoMYEM7GPg
22401197,zsXHPjwh4kM,side-court-led-logo,491.49,2455,1126.5852,0.2722,0.2662,0.7507,0.1778,0.8916,0.0688,0.3738,0.337,0.9926,0.083,0.8973,0.0536,1185.2,623.48,33.12,17.8,4.022,8.268,https://www.youtube.com/watch?v=zsXHPjwh4kM
22401197,zsXHPjwh4kM,mid-court-logo,339.94,1891,617.5647,0.1937,0.1928,0.5723,0.2288,0.7427,0.1917,0.3975,0.3252,1.0,0.0013,0.8806,0.0619,1394.23,465.45,31.93,17.81,1.963,1.217,https://www.youtube.com/watch?v=zsXHPjwh4kM
22401197,zsXHPjwh4kM,side-court-logo,431.83,2193,175.3106,0.0474,0.0414,0.2739,0.0353,0.4392,0.0927,0.4173,0.3491,1.0,0.0,0.8729,0.0486,923.21,371.25,31.11,18.32,0.525,0.149,https://www.youtube.com/watch?v=zsXHPjwh4kM
