game_id,video_id,exposure_zone,exposure_time_seconds,avg_area_pct,avg_dist_ref_pct,video_url
22500428,hAG7gWbARWM,back-court-logo,524.0,2.0791,25.01,https://www.youtube.com/watch?v=hAG7gWbARWM
22500428,hAG7gWbARWM,basket-logo,507.2,0.1857,35.8,https://www.youtube.com/watch?v=hAG7gWbARWM
22500420,FWhMT0oLWyE,basket-logo,520.12,0.1699,31.99,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,side-court-led-logo,555.16,1.8847,33.3,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,side-court-logo,570.97,0.7136,26.1,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,back-court-logo,516.12,1.1562,22.59,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,FWhMT0oLWyE,mid-court-logo,457.26,1.6166,31.26,https://www.youtube.com/watch?v=FWhMT0oLWyE
22500420,n4gGy5XSDD4,basket-logo,519.6,0.1733,32.67,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,side-court-led-logo,554.8,1.8904,32.75,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,side-court-logo,567.8,0.7245,25.58,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,back-court-logo,518.2,1.1908,22.75,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500420,n4gGy5XSDD4,mid-court-logo,450.4,1.6322,30.82,https://www.youtube.com/watch?v=n4gGy5XSDD4
22500423,fSLyYkYg2Fc,basket-logo,454.65,0.1929,31.2,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,side-court-led-logo,502.5,0.9765,26.03,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,mid-court-logo,451.65,1.1474,32.2,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,back-court-logo,462.26,1.1705,20.01,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,fSLyYkYg2Fc,side-court-logo,501.7,0.8053,23.86,https://www.youtube.com/watch?v=fSLyYkYg2Fc
22500423,9v08m-YNQhU,basket-logo,454.8,0.196,31.32,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,side-court-led-logo,502.2,1.0096,25.92,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,back-court-logo,460.8,1.1662,19.91,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,mid-court-logo,452.2,1.1948,31.87,https://www.youtube.com/watch?v=9v08m-YNQhU
22500423,9v08m-YNQhU,side-court-logo,500.2,0.8214,23.65,https://www.youtube.com/watch?v=9v08m-YNQhU
22500425,QQSi5Ab_wsw,side-court-led-logo,548.15,1.0009,26.75,https://www.youtube.com/watch?v=QQSi5Ab_wsw
22500425,QQSi5Ab_wsw,basket-logo,503.5,0.1313,34.22,https://www.youtube.com/watch?v=QQSi5Ab_wsw
22500425,QQSi5Ab_wsw,back-court-logo,521.52,1.2582,22.52,https://www.youtube.com/watch?v=QQSi5Ab_wsw
22500425,QQSi5Ab_wsw,side-court-logo,550.35,0.8562,27.21,https://www.youtube.com/watch?v=QQSi5Ab_wsw
22500425,QQSi5Ab_wsw,mid-court-logo,351.75,1.3668,28.43,https://www.youtube.com/watch?v=QQSi5Ab_wsw
22500425,BQevfUHQurY,side-court-led-logo,445.85,1.3554,28.57,https://www.youtube.com/watch?v=BQevfUHQurY
22500425,BQevfUHQurY,side-court-logo,454.85,1.0027,28.86,https://www.youtube.com/watch?v=BQevfUHQurY
22500425,BQevfUHQurY,mid-court-logo,262.26,1.7362,28.09,https://www.youtube.com/watch?v=BQevfUHQurY
22500425,BQevfUHQurY,back-court-logo,385.99,1.5757,25.17,https://www.youtube.com/watch?v=BQevfUHQurY
22500425,BQevfUHQurY,basket-logo,355.96,0.1567,33.13,https://www.youtube.com/watch?v=BQevfUHQurY
22500421,e6Zbg5Xz2gI,basket-logo,491.09,0.2307,34.79,https://www.youtube.com/watch?v=e6Zbg5Xz2gI
22500421,e6Zbg5Xz2gI,side-court-led-logo,529.53,1.0218,32.12,https://www.youtube.com/watch?v=e6Zbg5Xz2gI
22500421,e6Zbg5Xz2gI,side-court-logo,536.74,0.9259,27.35,https://www.youtube.com/watch?v=e6Zbg5Xz2gI
22500421,e6Zbg5Xz2gI,mid-court-logo,493.49,1.6574,34.14,https://www.youtube.com/watch?v=e6Zbg5Xz2gI
22500421,e6Zbg5Xz2gI,back-court-logo,0.2,1.0491,65.13,https://www.youtube.com/watch?v=e6Zbg5Xz2gI
22500421,bzbJz1CbVxs,basket-logo,491.8,0.2451,35.01,https://www.youtube.com/watch?v=bzbJz1CbVxs
22500421,bzbJz1CbVxs,side-court-led-logo,529.8,1.0412,31.99,https://www.youtube.com/watch?v=bzbJz1CbVxs
22500421,bzbJz1CbVxs,side-court-logo,535.4,0.942,26.97,https://www.youtube.com/watch?v=bzbJz1CbVxs
22500421,bzbJz1CbVxs,mid-court-logo,495.2,1.6599,33.82,https://www.youtube.com/watch?v=bzbJz1CbVxs
22500421,bzbJz1CbVxs,back-court-logo,0.4,0.2226,48.5,https://www.youtube.com/watch?v=bzbJz1CbVxs
22500416,uG4saUqCmaM,basket-logo,432.83,0.2139,35.14,https://www.youtube.com/watch?v=uG4saUqCmaM
22500416,uG4saUqCmaM,side-court-led-logo,324.12,1.5208,33.3,https://www.youtube.com/watch?v=uG4saUqCmaM
22500416,uG4saUqCmaM,back-court-logo,450.05,1.7638,26.04,https://www.youtube.com/watch?v=uG4saUqCmaM
22500416,uG4saUqCmaM,side-court-logo,504.9,1.1605,29.2,https://www.youtube.com/watch?v=uG4saUqCmaM
22500416,uG4saUqCmaM,mid-court-logo,356.36,2.4975,31.66,https://www.youtube.com/watch?v=uG4saUqCmaM
22500416,mFbQVh_ZUak,side-court-logo,524.2,1.1929,29.98,https://www.youtube.com/watch?v=mFbQVh_ZUak
22500416,mFbQVh_ZUak,side-court-led-logo,300.8,1.5555,35.23,https://www.youtube.com/watch?v=mFbQVh_ZUak
22500416,mFbQVh_ZUak,back-court-logo,474.2,1.8191,23.18,https://www.youtube.com/watch?v=mFbQVh_ZUak
22500416,mFbQVh_ZUak,basket-logo,467.0,0.2215,33.51,https://www.youtube.com/watch?v=mFbQVh_ZUak
22500416,mFbQVh_ZUak,mid-court-logo,346.0,2.4578,33.04,https://www.youtube.com/watch?v=mFbQVh_ZUak
22500412,3GcgHcw_tTE,side-court-led-logo,483.88,0.9208,29.14,https://www.youtube.com/watch?v=3GcgHcw_tTE
22500412,3GcgHcw_tTE,basket-logo,453.65,0.1948,33.8,https://www.youtube.com/watch?v=3GcgHcw_tTE
22500412,3GcgHcw_tTE,back-court-logo,467.47,1.5483,23.78,https://www.youtube.com/watch?v=3GcgHcw_tTE
22500412,3GcgHcw_tTE,side-court-logo,456.86,0.7228,29.71,https://www.youtube.com/watch?v=3GcgHcw_tTE
22500412,3GcgHcw_tTE,mid-court-logo,318.52,1.9475,28.44,https://www.youtube.com/watch?v=3GcgHcw_tTE
22500412,F4nYdtiioWg,basket-logo,460.4,0.2,32.18,https://www.youtube.com/watch?v=F4nYdtiioWg
22500412,F4nYdtiioWg,back-court-logo,470.4,1.5678,22.22,https://www.youtube.com/watch?v=F4nYdtiioWg
22500412,F4nYdtiioWg,side-court-logo,428.0,0.7195,31.28,https://www.youtube.com/watch?v=F4nYdtiioWg
22500412,F4nYdtiioWg,side-court-led-logo,464.0,0.9496,29.88,https://www.youtube.com/watch?v=F4nYdtiioWg
22500412,F4nYdtiioWg,mid-court-logo,293.4,1.8405,29.24,https://www.youtube.com/watch?v=F4nYdtiioWg
22500417,Oz9mpnwsYDU,basket-logo,462.0,0.255,36.63,https://www.youtube.com/watch?v=Oz9mpnwsYDU
22500417,Oz9mpnwsYDU,side-court-logo,485.2,0.7003,30.19,https://www.youtube.com/watch?v=Oz9mpnwsYDU
22500417,Oz9mpnwsYDU,side-court-led-logo,498.8,2.6402,31.63,https://www.youtube.com/watch?v=Oz9mpnwsYDU
22500417,Oz9mpnwsYDU,back-court-logo,466.0,1.538,25.35,https://www.youtube.com/watch?v=Oz9mpnwsYDU
22500417,Oz9mpnwsYDU,mid-court-logo,323.6,2.035,31.15,https://www.youtube.com/watch?v=Oz9mpnwsYDU
22500417,pGIEodgwqY0,mid-court-logo,375.98,1.958,30.17,https://www.youtube.com/watch?v=pGIEodgwqY0
22500417,pGIEodgwqY0,side-court-logo,536.34,0.7055,29.25,https://www.youtube.com/watch?v=pGIEodgwqY0
22500417,pGIEodgwqY0,basket-logo,532.53,0.2518,38.0,https://www.youtube.com/watch?v=pGIEodgwqY0
22500417,pGIEodgwqY0,back-court-logo,539.14,1.5338,26.2,https://www.youtube.com/watch?v=pGIEodgwqY0
22500417,pGIEodgwqY0,side-court-led-logo,562.36,2.446,30.98,https://www.youtube.com/watch?v=pGIEodgwqY0
22500417,xBb5I23MkG4,basket-logo,462.0,0.2598,36.99,https://www.youtube.com/watch?v=xBb5I23MkG4
22500417,xBb5I23MkG4,side-court-logo,482.4,0.7197,29.49,https://www.youtube.com/watch?v=xBb5I23MkG4
22500417,xBb5I23MkG4,side-court-led-logo,498.8,2.6822,31.2,https://www.youtube.com/watch?v=xBb5I23MkG4
22500417,xBb5I23MkG4,back-court-logo,465.6,1.5708,24.76,https://www.youtube.com/watch?v=xBb5I23MkG4
22500417,xBb5I23MkG4,mid-court-logo,322.6,2.1033,31.2,https://www.youtube.com/watch?v=xBb5I23MkG4
22500419,A5pa8rMZBTo,basket-logo,456.26,0.2072,33.25,https://www.youtube.com/watch?v=A5pa8rMZBTo
22500419,A5pa8rMZBTo,back-court-logo,456.86,0.9398,21.18,https://www.youtube.com/watch?v=A5pa8rMZBTo
22500419,A5pa8rMZBTo,side-court-logo,473.47,0.6628,24.86,https://www.youtube.com/watch?v=A5pa8rMZBTo
22500419,A5pa8rMZBTo,side-court-led-logo,316.12,0.8545,31.66,https://www.youtube.com/watch?v=A5pa8rMZBTo
22500419,A5pa8rMZBTo,mid-court-logo,368.77,1.7396,30.74,https://www.youtube.com/watch?v=A5pa8rMZBTo
22500419,Xnj7gYdiXiE,back-court-logo,456.2,0.9544,21.16,https://www.youtube.com/watch?v=Xnj7gYdiXiE
22500419,Xnj7gYdiXiE,basket-logo,454.4,0.2045,33.44,https://www.youtube.com/watch?v=Xnj7gYdiXiE
22500419,Xnj7gYdiXiE,side-court-led-logo,313.0,0.8904,31.36,https://www.youtube.com/watch?v=Xnj7gYdiXiE
22500419,Xnj7gYdiXiE,side-court-logo,473.4,0.671,24.28,https://www.youtube.com/watch?v=Xnj7gYdiXiE
22500419,Xnj7gYdiXiE,mid-court-logo,366.6,1.7822,30.3,https://www.youtube.com/watch?v=Xnj7gYdiXiE
22500410,2MFmXcufluk,side-court-logo,481.48,1.0197,29.32,https://www.youtube.com/watch?v=2MFmXcufluk
22500410,2MFmXcufluk,mid-court-logo,362.16,2.33,30.71,https://www.youtube.com/watch?v=2MFmXcufluk
22500410,2MFmXcufluk,back-court-logo,454.85,2.2977,25.85,https://www.youtube.com/watch?v=2MFmXcufluk
22500410,2MFmXcufluk,side-court-led-logo,338.34,2.1166,31.02,https://www.youtube.com/watch?v=2MFmXcufluk
22500410,2MFmXcufluk,basket-logo,445.65,0.2577,35.22,https://www.youtube.com/watch?v=2MFmXcufluk
