game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500242,Indiana Pacers vs Detroit Pistons Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=OhUhLVJOsB8,OhUhLVJOsB8,Hooper Highlights,589,2318,71,1.0
22500247,"Oklahoma City Thunder vs New Orleans Pelicans - FULL GAME HIGHLIGHTS | November 17, 2025 NBA Season",https://www.youtube.com/watch?v=hrykKX3siyY,hrykKX3siyY,Ximo Pierto,576,8599,161,7.0
22500247,Oklahoma City Thunder vs New Orleans Pelicans Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=sWOaBXhQ__8,sWOaBXhQ__8,Hooper Highlights,589,2720,84,
22500247,New Orleans Pelicans vs Oklahoma City Thunder FULLGAME Qtr Nov 17.2025 Highlights | NBA hightlight,https://www.youtube.com/watch?v=oKynUVPuj08,oKynUVPuj08,Mây Trắng Review,803,1988,5,
22500052,"Dallas Mavericks vs New Orleans Pelicans Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=HwlS8jVFNiA,HwlS8jVFNiA,GAMETIME HIGHLIGHTS,583,123006,1108,127.0
22500052,"Dallas Mavericks vs New Orleans Pelicans - FULL GAME HIGHLIGHTS | November 21, 2025 NBA Cup",https://www.youtube.com/watch?v=oygBSeFfMfs,oygBSeFfMfs,Ximo Pierto,578,3884,89,8.0
22500052,Dallas Mavericks vs New Orleans Pelicans | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=pow0ViaREBM,pow0ViaREBM,The CCB Network,626,7034,107,7.0
22500251,Detroit Pistons vs Atlanta Hawks | Full Game Highlights | November 18 | 2025-26 NBA Season,https://www.youtube.com/watch?v=R43o7gcue-8,R43o7gcue-8,The CCB Network,620,30519,350,12.0
22500251,"Detroit Pistons vs Atlanta Hawks Full Game Highlights - November 18, 2025 | NBA Season",https://www.youtube.com/watch?v=ne9FS3xXQ-k,ne9FS3xXQ-k,,568,4300,128,4.0
22500251,"FlightReacts To PISTONS at HAWKS | FULL GAME HIGHLIGHTS | November 18, 2025",https://www.youtube.com/watch?v=mHpBRgIWlRM,mHpBRgIWlRM,nonmaliceowl,791,7971,351,13.0
22500266,"Milwaukee Bucks vs Philadelphia 76ers Full Game Highlights - November 20, 2025 | NBA Season",https://www.youtube.com/watch?v=-uY2EAJ4Eoo,-uY2EAJ4Eoo,GAMETIME HIGHLIGHTS,571,218565,1917,138.0
22500266,"Milwaukee Bucks vs Philadelphia 76ers - FULL GAME HIGHLIGHTS | November 20, 2025 NBA Season",https://www.youtube.com/watch?v=w23CCdmouy8,w23CCdmouy8,Ximo Pierto,574,6941,134,8.0
22500266,Philadelphia 76ers vs Milwaukee Bucks Full Game Highlights | Nov 20 | 2026 NBA Season,https://www.youtube.com/watch?v=04nAS3vD7WI,04nAS3vD7WI,Hooper Highlights,595,2607,103,5.0
22500235,Brooklyn Nets vs Washington Wizards | Full Game Highlights | November 16 | 2025-26 NBA Season,https://www.youtube.com/watch?v=_hd3T0Rvk2A,_hd3T0Rvk2A,The CCB Network,558,7253,111,2.0
22500048,"Cleveland Cavaliers vs Indiana Pacers Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=yPEeARjfurY,yPEeARjfurY,GAMETIME HIGHLIGHTS,567,38353,418,31.0
22500048,"Cleveland Cavaliers vs Indiana Pacers - FULL GAME HIGHLIGHTS | November 21, 2025 NBA Cup",https://www.youtube.com/watch?v=-GV-YvQ-7yE,-GV-YvQ-7yE,Ximo Pierto,557,1925,50,1.0
22500048,Cleveland Cavaliers vs Indiana Pacers | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=EOLGTOdZvdc,EOLGTOdZvdc,The CCB Network,605,2004,42,3.0
22500053,"Minnesota Timberwolves vs Phoenix Suns Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=xZPphKlIvhk,xZPphKlIvhk,GAMETIME HIGHLIGHTS,581,124619,1390,173.0
22500053,"FlightReacts To WOLVES at SUNS | EMIRATES NBA CUP 🏆 | FULL GAME HIGHLIGHTS | November 21, 2025!",https://www.youtube.com/watch?v=vD8y7mz-O9s,vD8y7mz-O9s,NotYourAverageFlight,719,41724,1808,106.0
22500053,Minnesota Timberwolves vs Phoenix Suns | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=TZIB3bR3iXA,TZIB3bR3iXA,The CCB Network,623,6142,113,5.0
22500250,"Boston Celtics vs Brooklyn Nets - FULL GAME HIGHLIGHTS | November 18, 2025 NBA Season",https://www.youtube.com/watch?v=3VFE8EdRg2o,3VFE8EdRg2o,Ximo Pierto,570,5896,131,3.0
22500250,Boston Celtics vs Brooklyn Nets | Full Game Highlights | November 18 | 2025-26 NBA Season,https://www.youtube.com/watch?v=O1G7Yoy48L4,O1G7Yoy48L4,The CCB Network,625,41004,441,12.0
22500250,"Boston Celtics vs Brooklyn Nets Full Game Highlights - November 18, 2025 | NBA Season",https://www.youtube.com/watch?v=d3z93o50CAM,d3z93o50CAM,,545,3823,97,3.0
22500250,Boston Celtics vs Brooklyn Nets Full Game Highlights | Nov 18 | 2026 NBA Season,https://www.youtube.com/watch?v=OiiesAUvKrg,OiiesAUvKrg,Hooper Highlights,599,2626,112,1.0
22500239,Atlanta Hawks vs Phoenix Suns Full Game Highlights | Nov 16 | 2026 NBA Season,https://www.youtube.com/watch?v=BL25ccS_q3M,BL25ccS_q3M,Hooper Highlights,590,3284,126,
22500051,"Miami Heat vs Chicago Bulls Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=Q-HSTnmJ1yg,Q-HSTnmJ1yg,GAMETIME HIGHLIGHTS,555,54219,532,53.0
22500051,"Miami Heat vs Chicago Bulls - FULL GAME HIGHLIGHTS | November 21, 2025 NBA Cup",https://www.youtube.com/watch?v=h60R4cADqWI,h60R4cADqWI,Ximo Pierto,567,2641,65,7.0
22500051,Miami Heat vs Chicago Bulls | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=BGazxbtEKs8,BGazxbtEKs8,The CCB Network,591,5685,95,
22500051,Miami Heat at Chicago Bulls (11/21/25) | Game Highlights | CHSN,https://www.youtube.com/watch?v=27ONHtNwROs,27ONHtNwROs,Chicago Sports Network,118,1523,7,6.0
22500265,"Memphis Grizzlies vs Sacramento Kings Full Game Highlights - November 20, 2025 | NBA Season",https://www.youtube.com/watch?v=55KMxwNup94,55KMxwNup94,GAMETIME HIGHLIGHTS,569,54439,505,67.0
22500265,Sacramento Kings vs Memphis Grizzlies Full Game Highlights | Nov 20 | 2026 NBA Season,https://www.youtube.com/watch?v=OOaqistwqf0,OOaqistwqf0,Hooper Highlights,598,1640,60,2.0
22500265,"Sacramento Kings vs Memphis Grizzlies - FULL GAME HIGHLIGHTS | November 20, 2025 NBA Season",https://www.youtube.com/watch?v=DbrvD35xGBI,DbrvD35xGBI,Ximo Pierto,558,2077,57,3.0
22500265,Memphis Grizzlies vs Sacramento Kings | Full Game Highlights | November 20 | 2025-26 NBA Season,https://www.youtube.com/watch?v=qzGaqFokzv4,qzGaqFokzv4,The CCB Network,603,3582,72,2.0
22500263,"Chicago Bulls vs Portland Trail Blazers Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=91H6pprBv2k,91H6pprBv2k,GAMETIME HIGHLIGHTS,580,71837,891,114.0
22500263,"Portland Trail Blazers vs Chicago Bulls Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=1mamYZrZIRs,1mamYZrZIRs,Swish NBA,580,4563,51,4.0
22500263,Chicago Bulls vs Portland Trail Blazers | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=Yy3m_-gz-V4,Yy3m_-gz-V4,The CCB Network,625,6877,129,8.0
22500262,"New York Knicks vs Dallas Mavericks Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=UzB30ud1b3o,UzB30ud1b3o,GAMETIME HIGHLIGHTS,569,135662,1119,181.0
22500262,"New York Knicks vs Dallas Mavericks Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=JWaFIR8CsKM,JWaFIR8CsKM,Swish NBA,569,2100,34,3.0
22500262,New York Knicks vs Dallas Mavericks | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=KOWjzCHzQi0,KOWjzCHzQi0,The CCB Network,603,12820,190,13.0
22500262,"FlightReacts To KNICKS at MAVERICKS | FULL GAME HIGHLIGHTS | November 19, 2025!",https://www.youtube.com/watch?v=1ndzbrmJ9k8,1ndzbrmJ9k8,NotYourAverageFlight,689,71168,2636,162.0
22500261,"Oklahoma City Thunder vs Sacramento Kings Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=N97JrrtlBiw,N97JrrtlBiw,GAMETIME HIGHLIGHTS,583,116744,1040,75.0
22500261,Oklahoma City Thunder vs Sacramento Kings | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=EGgp2xG8lVo,EGgp2xG8lVo,The CCB Network,624,16340,213,6.0
22500261,Oklahoma City Thunder vs Sacramento Kings Full Game Highlights | Nov 19 | 2026 NBA Season,https://www.youtube.com/watch?v=7T88fw__plU,7T88fw__plU,Hooper Highlights,596,3021,96,3.0
22500261,"Oklahoma City Thunder vs Sacramento Kings - FULL GAME HIGHLIGHTS | November 19, 2025 NBA Season",https://www.youtube.com/watch?v=S2PR2ZI5BqA,S2PR2ZI5BqA,Ximo Pierto,567,4215,90,3.0
22500261,"Oklahoma City Thunder vs Sacramento Kings Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=UepMK39o_aA,UepMK39o_aA,Swish NBA,583,1350,30,1.0
22500246,"Minnesota Timberwolves vs Dallas Mavericks Full Game Highlights | Nov 17, 2025 | FreeDawkins",https://www.youtube.com/watch?v=37-ib9OOrQY,37-ib9OOrQY,,593,39498,804,55.0
22500246,Dallas Mavericks vs Minnesota Timberwolves | Full Game Highlights | November 17 | 2025-26 NBA Season,https://www.youtube.com/watch?v=zZ0vc5_5DZo,zZ0vc5_5DZo,The CCB Network,615,70018,507,25.0
22500246,"Dallas Mavericks vs Minnesota Timberwolves - FULL GAME HIGHLIGHTS | November 17, 2025 NBA Season",https://www.youtube.com/watch?v=SINal2IBNhM,SINal2IBNhM,Ximo Pierto,581,6696,113,4.0
22500246,Minnesota Timberwolves vs Dallas Mavericks FULLGAME Qtr Nov 17.2025 Highlights | NBA HIGHLIGHT,https://www.youtube.com/watch?v=JbQ5oOvgC64,JbQ5oOvgC64,Mây Trắng Review,799,2054,6,
22500246,Dallas Mavericks vs Minnesota Timberwolves Full Game Highlights | Nov 17 | 2026 NBA Season,https://www.youtube.com/watch?v=Cou-o5ZnORI,Cou-o5ZnORI,Hooper Highlights,597,3834,115,
22500255,"Houston Rockets vs Cleveland Cavaliers Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=b6rUKiNItaw,b6rUKiNItaw,GAMETIME HIGHLIGHTS,567,273769,2136,198.0
22500255,"Houston Rockets vs Cleveland Cavaliers Full Game Highlights | Nov 19, 2025 | FreeDawkins",https://www.youtube.com/watch?v=RMY9Wlp54uE,RMY9Wlp54uE,,596,23161,707,30.0
22500255,Houston Rockets vs Cleveland Cavaliers Full Game Highlights | Nov 19 | 2026 NBA Season,https://www.youtube.com/watch?v=ePZ37JSxC10,ePZ37JSxC10,Hooper Highlights,584,3810,150,2.0
22500255,"Houston Rockets vs Cleveland Cavaliers - FULL GAME HIGHLIGHTS | November 19, 2025 NBA Season",https://www.youtube.com/watch?v=VKptEQS2V2U,VKptEQS2V2U,Ximo Pierto,569,9449,210,6.0
22500255,Houston Rockets vs Cleveland Cavaliers | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=mbrkIrJyv5k,mbrkIrJyv5k,The CCB Network,607,30425,347,15.0
