"game_id","title","url","video_id","channel","duration","view_count","like_count","comment_count"
22500431,"Los Angeles Clippers vs Portland Trail Blazers Full Game Highlights – December 26, 2025 | NBA Season","https://www.youtube.com/watch?v=11LdwX87xkY","11LdwX87xkY","GAMETIME HIGHLIGHTS",587,99233,1011,64
22500409,"Charlotte Hornets vs Washington Wizards Full Game Highlights – December 23, 2025 | NBA Season","https://www.youtube.com/watch?v=IrpfL0OcIuI","IrpfL0OcIuI","GAMETIME HIGHLIGHTS",585,26200,396,32
22500424,"Charlotte Hornets vs Orlando Magic Full Game Highlights – December 26, 2025 | NBA Season","https://www.youtube.com/watch?v=l5ir1TZxJjk","l5ir1TZxJjk","GAMETIME HIGHLIGHTS",576,25306,347,31
22500430,"Detroit Pistons vs Utah Jazz Full Game Highlights – December 26, 2025 | NBA Season","https://www.youtube.com/watch?v=U5T9X6OK6OA","U5T9X6OK6OA","GAMETIME HIGHLIGHTS",586,62175,658,38
22500413,"Milwaukee Bucks vs Indiana Pacers Full Game Highlights – December 23, 2025 | NBA Season","https://www.youtube.com/watch?v=liAwHhl5zPk","liAwHhl5zPk","GAMETIME HIGHLIGHTS",589,22880,283,31
22500427,"Philadelphia 76ers vs Chicago Bulls Full Game Highlights – December 26, 2025 | NBA Season","https://www.youtube.com/watch?v=FPv3NJdeBL0","FPv3NJdeBL0","GAMETIME HIGHLIGHTS",591,60020,714,45
22500427,"Philadelphia 76ers vs Chicago Bulls | Full Game Highlights | December 26 | 2025-26 NBA Season","https://www.youtube.com/watch?v=ChXOrBUSjQE","ChXOrBUSjQE","The CCB Network",631,2833,81,2
22500428,"Milwaukee Bucks vs Memphis Grizzlies Full Game Highlights – December 26, 2025 | NBA Season","https://www.youtube.com/watch?v=2jiqv7eR_Bo","2jiqv7eR_Bo","GAMETIME HIGHLIGHTS",588,50939,542,39.0
22500428,"Milwaukee Bucks vs Memphis Grizzlies | Full Game Highlights | December 26 | 2025-26 NBA Season","https://www.youtube.com/watch?v=hAG7gWbARWM","hAG7gWbARWM","The CCB Network",634,6054,93,9.0
22500420,"Portland Trail Blazers vs Orlando Magic Full Game Highlights – December 23, 2025 | NBA Season","https://www.youtube.com/watch?v=FWhMT0oLWyE","FWhMT0oLWyE","GAMETIME HIGHLIGHTS",594,26796,328,30.0
