"game_id","title","url","video_id","channel","duration","view_count","like_count","comment_count"
22401200,"Sacramento Kings vs Phoenix Suns Full Game Highlights | Apr 13 | 2025 NBA Season","https://www.youtube.com/watch?v=uYRnBegi1eE","uYRnBegi1eE","Hooper Highlights",595,1854,81,""
22401200,"Sacramento Kings vs Phoenix Suns Full Game Highlights - April 13, 2025 | NBA Regular Season","https://www.youtube.com/watch?v=7IYsmNmwoWU","7IYsmNmwoWU","GAMETIME HIGHLIGHTS",581,36502,793,8.0
22401172,"Orlando Magic vs Indiana Pacers Full Game Highlights | Apr 11 | 2025 NBA Season","https://www.youtube.com/watch?v=ljGfqf2Mkkw","ljGfqf2Mkkw","Hooper Highlights",584,1768,75,""
22401172,"Indiana Pacers vs Orlando Magic Full Game Highlights - April 11, 2025 | Regular Season","https://www.youtube.com/watch?v=SrgplTRgHvA","SrgplTRgHvA","GAMETIME HIGHLIGHTS",555,18734,692,14.0
22401183,"Golden State Warriors vs Portland Trail Blazers Full Game Highlights | April 11, 2025 | FreeDawkins","https://www.youtube.com/watch?v=W1-UQ-BIuDI","W1-UQ-BIuDI","FreeDawkins",586,683340,9893,258.0
22401183,"Golden State Warriors vs Portland Trail Blazers Full Game Highlights | Apr 11 | 2025 NBA Season","https://www.youtube.com/watch?v=vR152fUM6v0","vR152fUM6v0","Hooper Highlights",592,5846,197,1.0
22401169,"Atlanta Hawks vs Brooklyn Nets Full Game Highlights | Apr 10 | 2025 NBA Season","https://www.youtube.com/watch?v=vfFMG9Qtkgk","vfFMG9Qtkgk","Hooper Highlights",593,2142,83,1.0
22401169,"Atlanta Hawks vs Brooklyn Nets Full Game Highlights - April 10, 2025 | NBA Regular Season","https://www.youtube.com/watch?v=HKYnJRt2g-E","HKYnJRt2g-E","GAMETIME HIGHLIGHTS",591,23766,782,9.0
22401156,"Boston Celtics vs Orlando Magic Full Game Highlights - April 9, 2025 | NBA Regular Season","https://www.youtube.com/watch?v=Hy6uiNh5vC4","Hy6uiNh5vC4","GAMETIME HIGHLIGHTS",575,70274,1130,109
22401165,"Denver Nuggets vs Sacramento Kings Full Game Highlights - April 9, 2025 | NBA Regular Season","https://www.youtube.com/watch?v=DXD5c45ypmM","DXD5c45ypmM","GAMETIME HIGHLIGHTS",576,173594,1812,60
