epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4853,1.56542,3.24272,2.22671,0.78472,0.64946,0.69849,0.4544,1.03995,1.82576,1.9948,0.000331811,0.000331811,0.000331811
2,122.51,1.02435,1.30117,1.90276,0.80158,0.7885,0.84322,0.60308,0.8873,1.15121,1.93369,0.000651975,0.000651975,0.000651975
3,170.771,0.9544,1.00801,1.86992,0.86518,0.82676,0.88959,0.65514,0.84193,0.97314,1.87573,0.000958938,0.000958938,0.000958938
4,220.007,0.90288,0.88657,1.85726,0.89156,0.85546,0.90532,0.69683,0.78998,0.89787,1.84947,0.0009406,0.0009406,0.0009406
5,267.926,0.86278,0.79424,1.7962,0.90666,0.86247,0.92064,0.71046,0.78621,0.76331,1.84151,0.0009208,0.0009208,0.0009208
6,316.121,0.84498,0.76285,1.79947,0.89632,0.87771,0.93333,0.72753,0.77178,0.7823,1.80372,0.000901,0.000901,0.000901
7,364.315,0.80503,0.71291,1.75887,0.91273,0.87632,0.93295,0.73846,0.73992,0.7383,1.79349,0.0008812,0.0008812,0.0008812
8,412.616,0.8065,0.70179,1.74673,0.92321,0.87466,0.93561,0.73863,0.73515,0.79678,1.83192,0.0008614,0.0008614,0.0008614
9,461.838,0.78044,0.64683,1.72871,0.91775,0.8844,0.93484,0.73081,0.74069,0.72119,1.8327,0.0008416,0.0008416,0.0008416
10,510.007,0.7752,0.63757,1.73134,0.93272,0.8902,0.94293,0.75893,0.702,0.69277,1.78368,0.0008218,0.0008218,0.0008218
11,558.016,0.77224,0.62146,1.73341,0.94673,0.88207,0.94083,0.75404,0.71792,0.74324,1.75017,0.000802,0.000802,0.000802
12,606.271,0.75484,0.61519,1.71238,0.88932,0.90769,0.93662,0.74891,0.71843,0.6466,1.76023,0.0007822,0.0007822,0.0007822
13,653.738,0.74169,0.60231,1.68404,0.9525,0.87423,0.94413,0.76336,0.7025,0.64177,1.83196,0.0007624,0.0007624,0.0007624
14,701.215,0.73017,0.57553,1.66809,0.92752,0.90849,0.94805,0.76708,0.69116,0.67534,1.80282,0.0007426,0.0007426,0.0007426
15,748.272,0.72942,0.57515,1.68877,0.93026,0.89847,0.94995,0.76807,0.69094,0.60772,1.74579,0.0007228,0.0007228,0.0007228
16,795.691,0.71299,0.55594,1.64458,0.90269,0.91338,0.94681,0.77064,0.69266,0.59961,1.7259,0.000703,0.000703,0.000703
17,842.929,0.71404,0.55946,1.67936,0.91935,0.91163,0.95054,0.77651,0.67978,0.74971,1.76106,0.0006832,0.0006832,0.0006832
18,889.639,0.69679,0.54254,1.62092,0.915,0.90937,0.94944,0.77392,0.68013,0.68802,1.70821,0.0006634,0.0006634,0.0006634
19,937.189,0.69087,0.53389,1.64308,0.96133,0.88168,0.94796,0.77919,0.6733,0.64092,1.73486,0.0006436,0.0006436,0.0006436
20,985.413,0.67371,0.5139,1.63185,0.92722,0.91867,0.95264,0.77355,0.6853,0.64341,1.71299,0.0006238,0.0006238,0.0006238
21,1032.32,0.67892,0.51784,1.61622,0.91079,0.90423,0.94201,0.77084,0.66952,0.57986,1.72257,0.000604,0.000604,0.000604
22,1079.7,0.68133,0.51894,1.63085,0.9405,0.9075,0.95177,0.78463,0.67312,0.62105,1.70527,0.0005842,0.0005842,0.0005842
23,1129.25,0.66565,0.49119,1.61586,0.94226,0.90295,0.95389,0.78418,0.67263,0.60666,1.73791,0.0005644,0.0005644,0.0005644
24,1177.59,0.66767,0.49713,1.60184,0.92677,0.91572,0.95471,0.79094,0.64931,0.62214,1.67881,0.0005446,0.0005446,0.0005446
25,1225.41,0.64713,0.47811,1.59598,0.93382,0.91242,0.95071,0.78661,0.6551,0.58348,1.68879,0.0005248,0.0005248,0.0005248
26,1273.45,0.64346,0.47649,1.57574,0.93717,0.91085,0.95171,0.79293,0.64888,0.54353,1.69204,0.000505,0.000505,0.000505
27,1320.94,0.64647,0.48031,1.58203,0.95153,0.91186,0.95687,0.79139,0.65332,0.57457,1.71844,0.0004852,0.0004852,0.0004852
28,1369.24,0.63675,0.46544,1.57886,0.93206,0.92399,0.95432,0.78885,0.65259,0.55268,1.70568,0.0004654,0.0004654,0.0004654
29,1417.52,0.64131,0.4656,1.57574,0.9293,0.92018,0.95485,0.79147,0.65331,0.58097,1.67597,0.0004456,0.0004456,0.0004456
30,1465.73,0.6457,0.47107,1.566,0.92678,0.92144,0.95258,0.79056,0.64646,0.54473,1.69057,0.0004258,0.0004258,0.0004258
31,1513.04,0.62624,0.45555,1.55116,0.94683,0.90656,0.95589,0.79395,0.64596,0.55459,1.70628,0.000406,0.000406,0.000406
32,1560.22,0.61944,0.4449,1.53463,0.95312,0.91217,0.95513,0.79797,0.63621,0.53578,1.71078,0.0003862,0.0003862,0.0003862
33,1606.78,0.61544,0.4459,1.53041,0.94033,0.91547,0.95378,0.79495,0.63745,0.51453,1.71743,0.0003664,0.0003664,0.0003664
34,1654.24,0.61483,0.4401,1.52103,0.94827,0.91293,0.95653,0.79914,0.63887,0.52977,1.69198,0.0003466,0.0003466,0.0003466
35,1702.43,0.60172,0.43181,1.50659,0.95784,0.91535,0.95701,0.80047,0.63959,0.49517,1.72822,0.0003268,0.0003268,0.0003268
36,1749.03,0.59784,0.42907,1.49024,0.9471,0.91316,0.95687,0.79928,0.64135,0.49506,1.72842,0.000307,0.000307,0.000307
37,1795.99,0.5947,0.42597,1.50058,0.95645,0.91165,0.95042,0.80059,0.63265,0.51312,1.69403,0.0002872,0.0002872,0.0002872
38,1843.02,0.59366,0.42688,1.49512,0.96591,0.90206,0.95803,0.80577,0.62299,0.52493,1.68993,0.0002674,0.0002674,0.0002674
39,1890,0.58254,0.42158,1.46888,0.93947,0.92517,0.95886,0.80457,0.63746,0.50466,1.69421,0.0002476,0.0002476,0.0002476
40,1937.88,0.59088,0.41678,1.48412,0.93433,0.93184,0.95817,0.80893,0.62719,0.48806,1.69934,0.0002278,0.0002278,0.0002278
41,2002.88,0.57271,0.42575,1.46672,0.9438,0.9157,0.95251,0.80321,0.63182,0.51511,1.7114,0.000208,0.000208,0.000208
42,2049.65,0.57471,0.3971,1.47184,0.9519,0.90423,0.95203,0.80147,0.62873,0.51363,1.71837,0.0001882,0.0001882,0.0001882
43,2096.1,0.56079,0.38986,1.47393,0.94369,0.91621,0.95675,0.80977,0.62568,0.49586,1.71883,0.0001684,0.0001684,0.0001684
44,2143.12,0.55997,0.38612,1.4743,0.94737,0.91708,0.95387,0.80585,0.61593,0.49698,1.71372,0.0001486,0.0001486,0.0001486
45,2192.64,0.55915,0.39061,1.44805,0.94903,0.92128,0.95602,0.80717,0.61838,0.48567,1.70222,0.0001288,0.0001288,0.0001288
46,2241.12,0.54555,0.37371,1.45053,0.94688,0.91717,0.95414,0.80718,0.61866,0.49041,1.71349,0.000109,0.000109,0.000109
47,2289.08,0.55262,0.38374,1.44407,0.9446,0.91964,0.95357,0.80792,0.61883,0.49395,1.71107,8.92e-05,8.92e-05,8.92e-05
48,2337.14,0.53449,0.36829,1.42814,0.95098,0.91858,0.95383,0.81104,0.61523,0.49022,1.71151,6.94e-05,6.94e-05,6.94e-05
49,2387.84,0.53662,0.36962,1.44567,0.95682,0.9086,0.95414,0.81181,0.61252,0.48472,1.70124,4.96e-05,4.96e-05,4.96e-05
50,2438.22,0.52824,0.36059,1.41621,0.93948,0.92587,0.95535,0.81177,0.60982,0.48169,1.70854,2.98e-05,2.98e-05,2.98e-05
