epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8389,1.48153,3.03429,2.18574,0.79324,0.70864,0.76062,0.51264,0.8815,2.23059,1.79824,0.00033223,0.00033223,0.00033223
2,142.386,0.98633,1.20385,1.88869,0.80401,0.79945,0.85627,0.63052,0.79,1.38338,1.73003,0.000652385,0.000652385,0.000652385
3,211.335,0.90869,0.90836,1.81804,0.8828,0.80845,0.88582,0.67103,0.75792,1.2062,1.69152,0.00095934,0.00095934,0.00095934
4,279.755,0.8734,0.85615,1.80376,0.88267,0.84954,0.90821,0.68768,0.74526,1.62499,1.68177,0.0009406,0.0009406,0.0009406
5,348.681,0.83919,0.7712,1.76127,0.90634,0.85626,0.9197,0.72176,0.71183,1.13689,1.65301,0.0009208,0.0009208,0.0009208
6,417.119,0.81641,0.71409,1.75971,0.90075,0.86684,0.92286,0.72372,0.70732,1.06423,1.63357,0.000901,0.000901,0.000901
7,485.667,0.80304,0.68501,1.74231,0.91535,0.88387,0.93665,0.74341,0.67092,1.01476,1.5955,0.0008812,0.0008812,0.0008812
8,554.623,0.77454,0.64833,1.74012,0.92748,0.88441,0.94632,0.75823,0.68201,1.12642,1.57847,0.0008614,0.0008614,0.0008614
9,623.079,0.77088,0.64177,1.71764,0.93459,0.88548,0.94649,0.75686,0.66531,1.01168,1.55413,0.0008416,0.0008416,0.0008416
10,691.67,0.75482,0.61639,1.71034,0.92745,0.88749,0.94594,0.76412,0.64072,0.99053,1.59823,0.0008218,0.0008218,0.0008218
11,760.664,0.73818,0.60491,1.68748,0.94203,0.88001,0.942,0.76849,0.64978,0.92216,1.56855,0.000802,0.000802,0.000802
12,829.656,0.73254,0.59086,1.66912,0.9333,0.89229,0.95041,0.77543,0.63832,0.937,1.5679,0.0007822,0.0007822,0.0007822
13,898.7,0.72042,0.57667,1.67509,0.9388,0.89455,0.94791,0.77483,0.63542,0.7624,1.58369,0.0007624,0.0007624,0.0007624
14,967.306,0.71709,0.58106,1.66448,0.95714,0.89322,0.9549,0.78508,0.63457,0.85079,1.5594,0.0007426,0.0007426,0.0007426
15,1036.37,0.71793,0.56235,1.65373,0.94323,0.90688,0.95607,0.79753,0.60841,0.89729,1.54499,0.0007228,0.0007228,0.0007228
16,1105.46,0.69651,0.54335,1.64582,0.95864,0.89449,0.95449,0.78933,0.6258,0.77572,1.55354,0.000703,0.000703,0.000703
17,1174.31,0.69084,0.53729,1.64011,0.94472,0.90138,0.95337,0.79322,0.62192,0.92234,1.54972,0.0006832,0.0006832,0.0006832
18,1243.77,0.67227,0.51207,1.60655,0.94545,0.89613,0.95207,0.79893,0.61695,0.88398,1.563,0.0006634,0.0006634,0.0006634
19,1312.25,0.68095,0.52143,1.63454,0.9421,0.90246,0.95015,0.7898,0.62021,0.9814,1.55272,0.0006436,0.0006436,0.0006436
20,1380.94,0.67816,0.51279,1.62773,0.9485,0.91625,0.95617,0.78982,0.61501,0.95151,1.53046,0.0006238,0.0006238,0.0006238
21,1449.86,0.66773,0.50753,1.61057,0.94159,0.91959,0.95584,0.80142,0.60834,0.81464,1.53171,0.000604,0.000604,0.000604
22,1518.62,0.65925,0.494,1.61571,0.94405,0.91639,0.96109,0.80087,0.61178,0.91141,1.49874,0.0005842,0.0005842,0.0005842
23,1587.58,0.65047,0.48004,1.59109,0.93504,0.91903,0.95511,0.80602,0.60061,0.66788,1.51381,0.0005644,0.0005644,0.0005644
24,1656.32,0.63279,0.46817,1.5689,0.94567,0.91062,0.95741,0.79935,0.60073,0.82019,1.5217,0.0005446,0.0005446,0.0005446
25,1725.06,0.63491,0.4757,1.59537,0.95059,0.91029,0.95836,0.80853,0.59462,0.71639,1.51937,0.0005248,0.0005248,0.0005248
26,1794.6,0.63226,0.46609,1.5487,0.9578,0.91384,0.96164,0.81065,0.5962,0.81728,1.52193,0.000505,0.000505,0.000505
27,1863.76,0.62583,0.4577,1.55523,0.9403,0.91944,0.95971,0.81342,0.58703,0.66522,1.52701,0.0004852,0.0004852,0.0004852
28,1932.52,0.62088,0.4569,1.55805,0.95022,0.92319,0.95872,0.81138,0.59552,0.84437,1.50955,0.0004654,0.0004654,0.0004654
29,2002.59,0.61063,0.44363,1.53262,0.95066,0.90983,0.95653,0.81285,0.5811,0.77603,1.48177,0.0004456,0.0004456,0.0004456
30,2071.66,0.61424,0.45087,1.51969,0.95169,0.91671,0.96012,0.81687,0.58306,0.75411,1.53088,0.0004258,0.0004258,0.0004258
31,2142.17,0.60411,0.43558,1.51415,0.94413,0.92292,0.96143,0.81233,0.58173,0.78179,1.51155,0.000406,0.000406,0.000406
32,2212.03,0.6046,0.44229,1.51581,0.97107,0.91402,0.96467,0.82099,0.58745,0.61667,1.51397,0.0003862,0.0003862,0.0003862
33,2283.6,0.59688,0.4327,1.5093,0.96084,0.91581,0.9624,0.81778,0.5884,0.74025,1.57096,0.0003664,0.0003664,0.0003664
34,2353.46,0.60049,0.43024,1.50316,0.95481,0.92068,0.9633,0.82025,0.58216,0.63651,1.50341,0.0003466,0.0003466,0.0003466
35,2422.13,0.5925,0.42464,1.51126,0.95175,0.92203,0.96162,0.82115,0.57393,0.70225,1.51168,0.0003268,0.0003268,0.0003268
36,2492.08,0.58486,0.41964,1.50282,0.94518,0.92416,0.96027,0.82092,0.57787,0.59943,1.51099,0.000307,0.000307,0.000307
37,2560.96,0.58784,0.41452,1.49193,0.95811,0.91639,0.96265,0.82327,0.57317,0.62042,1.50845,0.0002872,0.0002872,0.0002872
38,2629.89,0.5733,0.40969,1.49091,0.96642,0.90502,0.96201,0.82587,0.57626,0.60595,1.50978,0.0002674,0.0002674,0.0002674
39,2699.19,0.58463,0.41098,1.48371,0.93876,0.93545,0.96558,0.82335,0.58025,0.5895,1.5032,0.0002476,0.0002476,0.0002476
40,2769.38,0.57238,0.40663,1.46932,0.95738,0.91923,0.96358,0.82906,0.56914,0.58035,1.50845,0.0002278,0.0002278,0.0002278
41,2861.81,0.56117,0.40192,1.4806,0.94522,0.91955,0.96085,0.82108,0.57777,0.6706,1.52366,0.000208,0.000208,0.000208
42,2931.45,0.55817,0.38837,1.49287,0.93793,0.93252,0.96251,0.82639,0.56885,0.53897,1.50758,0.0001882,0.0001882,0.0001882
43,3000.91,0.55575,0.38458,1.46575,0.95141,0.92314,0.96305,0.83032,0.57941,0.47796,1.51723,0.0001684,0.0001684,0.0001684
44,3070.74,0.5488,0.37714,1.4663,0.95829,0.91661,0.9637,0.83002,0.56615,0.54621,1.50664,0.0001486,0.0001486,0.0001486
45,3139.11,0.53768,0.36869,1.45324,0.96036,0.92127,0.96498,0.83103,0.56682,0.53528,1.50067,0.0001288,0.0001288,0.0001288
46,3206.9,0.53487,0.36769,1.44711,0.96566,0.92081,0.96597,0.83452,0.56543,0.5034,1.50889,0.000109,0.000109,0.000109
47,3274.86,0.52595,0.363,1.42671,0.95591,0.92409,0.96557,0.83298,0.55625,0.50235,1.49763,8.92e-05,8.92e-05,8.92e-05
48,3342.67,0.53086,0.36344,1.43968,0.9632,0.91247,0.96324,0.834,0.56385,0.49888,1.5338,6.94e-05,6.94e-05,6.94e-05
49,3410.65,0.52821,0.36257,1.42422,0.96767,0.90974,0.96342,0.83317,0.56452,0.51605,1.52542,4.96e-05,4.96e-05,4.96e-05
50,3478.36,0.51388,0.35506,1.40655,0.96416,0.91474,0.96283,0.83419,0.56233,0.5227,1.53215,2.98e-05,2.98e-05,2.98e-05
