game_id,video_id,exposure_zone,exposure_time_seconds,average_box_area_pixels,video_url
22500049,ML9M5PvwKD4,side-court-logo,251.33,3476.61,https://www.youtube.com/watch?v=ML9M5PvwKD4
22500049,ML9M5PvwKD4,back-court-logo,285.67,6276.12,https://www.youtube.com/watch?v=ML9M5PvwKD4
22500049,ML9M5PvwKD4,basket-logo,466.33,846.22,https://www.youtube.com/watch?v=ML9M5PvwKD4
22500052,HwlS8jVFNiA,basket-logo,435.33,532.05,https://www.youtube.com/watch?v=HwlS8jVFNiA
22500052,HwlS8jVFNiA,side-court-led-logo,374.0,5070.56,https://www.youtube.com/watch?v=HwlS8jVFNiA
22500052,HwlS8jVFNiA,mid-court-logo,47.33,3027.93,https://www.youtube.com/watch?v=HwlS8jVFNiA
22500052,HwlS8jVFNiA,back-court-logo,68.33,1398.92,https://www.youtube.com/watch?v=HwlS8jVFNiA
22500052,HwlS8jVFNiA,side-court-logo,20.67,751.57,https://www.youtube.com/watch?v=HwlS8jVFNiA
22500052,oygBSeFfMfs,side-court-led-logo,415.0,4882.38,https://www.youtube.com/watch?v=oygBSeFfMfs
22500052,oygBSeFfMfs,back-court-logo,97.33,1242.0,https://www.youtube.com/watch?v=oygBSeFfMfs
22500052,oygBSeFfMfs,basket-logo,441.67,526.92,https://www.youtube.com/watch?v=oygBSeFfMfs
22500052,oygBSeFfMfs,mid-court-logo,45.33,3320.25,https://www.youtube.com/watch?v=oygBSeFfMfs
22500052,oygBSeFfMfs,side-court-logo,10.33,851.58,https://www.youtube.com/watch?v=oygBSeFfMfs
22500052,pow0ViaREBM,basket-logo,435.0,544.77,https://www.youtube.com/watch?v=pow0ViaREBM
22500052,pow0ViaREBM,side-court-led-logo,377.0,5171.28,https://www.youtube.com/watch?v=pow0ViaREBM
22500052,pow0ViaREBM,mid-court-logo,48.0,3540.77,https://www.youtube.com/watch?v=pow0ViaREBM
22500052,pow0ViaREBM,side-court-logo,18.33,805.66,https://www.youtube.com/watch?v=pow0ViaREBM
22500052,pow0ViaREBM,back-court-logo,71.33,1382.76,https://www.youtube.com/watch?v=pow0ViaREBM
22500264,oDUSA7mBsds,side-court-led-logo,246.33,5719.37,https://www.youtube.com/watch?v=oDUSA7mBsds
22500264,oDUSA7mBsds,back-court-logo,426.33,3166.21,https://www.youtube.com/watch?v=oDUSA7mBsds
22500264,oDUSA7mBsds,side-court-logo,465.67,2257.35,https://www.youtube.com/watch?v=oDUSA7mBsds
22500264,oDUSA7mBsds,mid-court-logo,270.67,4008.13,https://www.youtube.com/watch?v=oDUSA7mBsds
22500264,oDUSA7mBsds,basket-logo,399.67,605.4,https://www.youtube.com/watch?v=oDUSA7mBsds
22500264,A9uYU0gQu0s,side-court-led-logo,304.33,3676.7,https://www.youtube.com/watch?v=A9uYU0gQu0s
22500264,A9uYU0gQu0s,mid-court-logo,316.0,4070.77,https://www.youtube.com/watch?v=A9uYU0gQu0s
22500264,A9uYU0gQu0s,side-court-logo,553.67,2232.17,https://www.youtube.com/watch?v=A9uYU0gQu0s
22500264,A9uYU0gQu0s,back-court-logo,491.0,3243.4,https://www.youtube.com/watch?v=A9uYU0gQu0s
22500264,A9uYU0gQu0s,basket-logo,455.0,591.92,https://www.youtube.com/watch?v=A9uYU0gQu0s
