epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2533.24,0.63444,0.427,1.60026,0.96294,0.93303,0.97564,0.83595,0.65048,0.45079,1.90271,0.000660045,0.000660045,0.000660045
43,2592.98,0.63402,0.42256,1.5643,0.95912,0.93058,0.97278,0.82952,0.66794,0.47166,1.9166,0.000649046,0.000649046,0.000649046
44,2652.58,0.63105,0.41886,1.57744,0.96685,0.93074,0.97436,0.82741,0.67029,0.46503,1.97223,0.000638047,0.000638047,0.000638047
45,2712.21,0.63515,0.4229,1.58097,0.94615,0.94085,0.97319,0.8337,0.65434,0.45855,1.95922,0.000627048,0.000627048,0.000627048
46,2771.95,0.62818,0.41566,1.56879,0.95977,0.93953,0.9747,0.83833,0.66437,0.46277,1.94389,0.000616049,0.000616049,0.000616049
47,2831.45,0.61455,0.40537,1.54755,0.96522,0.92136,0.97392,0.8354,0.65423,0.46093,1.91263,0.000605051,0.000605051,0.000605051
48,2890.32,0.61381,0.4066,1.54936,0.95308,0.93446,0.97285,0.83327,0.66327,0.47188,1.94494,0.000594052,0.000594052,0.000594052
49,2949.67,0.61252,0.40633,1.55141,0.96249,0.93536,0.97791,0.84399,0.64563,0.45301,1.92746,0.000583053,0.000583053,0.000583053
50,3008.63,0.60515,0.40044,1.5256,0.96378,0.93244,0.97494,0.8361,0.6513,0.45684,1.94312,0.000572054,0.000572054,0.000572054
51,3067.29,0.60714,0.39718,1.52155,0.9579,0.9294,0.97565,0.84364,0.64621,0.45204,1.94041,0.000561055,0.000561055,0.000561055
52,3126.66,0.59734,0.39433,1.50025,0.96475,0.92711,0.97469,0.84021,0.64805,0.46217,1.95927,0.000550056,0.000550056,0.000550056
53,3185.28,0.59869,0.39898,1.49753,0.95898,0.92365,0.97278,0.83615,0.64966,0.46842,1.99472,0.000539057,0.000539057,0.000539057
54,3244.24,0.59652,0.39757,1.48894,0.97213,0.92367,0.97698,0.84295,0.63996,0.44877,1.91348,0.000528058,0.000528058,0.000528058
55,3303.85,0.6022,0.39291,1.47951,0.9645,0.92379,0.97368,0.83855,0.65537,0.46439,1.95109,0.000517059,0.000517059,0.000517059
56,3363.1,0.58244,0.38553,1.47882,0.95363,0.93349,0.97573,0.84257,0.63755,0.45536,1.93889,0.00050606,0.00050606,0.00050606
57,3422.01,0.58457,0.38672,1.48815,0.96616,0.92662,0.9754,0.84259,0.63177,0.44388,1.93813,0.000495062,0.000495062,0.000495062
58,3480.95,0.57996,0.38137,1.46106,0.97335,0.92519,0.97837,0.84643,0.63818,0.44247,1.94853,0.000484063,0.000484063,0.000484063
59,3539.88,0.57951,0.3819,1.45799,0.95958,0.93033,0.97357,0.8458,0.63438,0.44999,1.95215,0.000473064,0.000473064,0.000473064
60,3599.1,0.57204,0.37629,1.45463,0.95031,0.93221,0.96975,0.84297,0.63539,0.45721,1.95112,0.000462065,0.000462065,0.000462065
61,3658.48,0.57313,0.37645,1.4471,0.96746,0.92053,0.97459,0.84469,0.63853,0.44962,1.96134,0.000451066,0.000451066,0.000451066
